Symptom,Possible Diseases,Severity,Average Duration (days),Common in Region,Language Availability
Growing pains,"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",Mild,1,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Failure to thrive,"Malnutrition, Congenital heart disease, Celiac disease",Severe,90,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Developmental delay,"Down syndrome, Autism spectrum disorder, Hypothyroidism",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Abnormal gait,"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",Severe,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Limping,"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Toe walking,"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bowlegs,"Vitamin D deficiency, Blount's disease, Normal development",Mild,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees,"Normal development, Rickets, Obesity",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Flat feet,"Normal variant, Obesity, Ligament laxity",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
High arched feet,"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive crying in infants,"Colic, Ear infection, Gastroesophageal reflux",Moderate,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Recurrent fever in children,"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent abdominal pain in children,"Irritable bowel syndrome, Constipation, Abdominal migraine",Moderate,2,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive sweating in children,"Hyperthyroidism, Anxiety, Infection",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Enlarged tonsils,"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Snoring,"Adenoid hypertrophy, Obesity, Sleep apnea",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Mouth breathing,"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent ear infections,"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Delayed teething,"Vitamin D deficiency, Hypothyroidism, Down syndrome",Mild,90,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Early puberty,"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Delayed puberty,"Constitutional delay, Hypogonadism, Chronic disease",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Short stature,"Growth hormone deficiency, Hypothyroidism, Malnutrition",Moderate,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Tall stature,"Marfan syndrome, Gigantism, Klinefelter syndrome",Mild,365,North India,"English, Hindi, Punjabi, Urdu"
Excessive thirst in children,"Diabetes, Diabetes insipidus, Psychogenic polydipsia",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Frequent urination in children,"Diabetes, Urinary tract infection, Overactive bladder",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Pain in the legs,"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bow legs in children,"Vitamin D deficiency, Rickets, Blount's disease",Moderate,180,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees in children,"Rickets, Obesity, Normal variant",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Refusal to walk,"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Vision problems in children,"Refractive errors, Amblyopia, Strabismus",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Head tilting,"Torticollis, Vision problems, Ear infection",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Large head,"Hydrocephalus, Familial macrocephaly, Brain tumor",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Small head,"Microcephaly, Malnutrition, Genetic disorders",Severe,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Speech delay,"Autism spectrum disorder, Hearing loss, Intellectual disability",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Hyperactivity,"ADHD, Hyperthyroidism, Lead poisoning",Moderate,365,Urban India,"English, Hindi, Tamil, Bengali, Marathi"
Inattention,"ADHD, Learning disabilities, Sleep disorders",Moderate,365,Urban India,"English, Hindi, Tamil, Bengali, Telugu"
Learning difficulties,"Learning disabilities, ADHD, Intellectual disability",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Social withdrawal,"Autism spectrum disorder, Depression, Anxiety",Moderate,180,Urban India,"English, Hindi, Tamil, Bengali, Telugu"
Repetitive behaviors,"Autism spectrum disorder, OCD, Tic disorders",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Temper tantrums,"Normal development, ADHD, Autism spectrum disorder",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sleep problems in children,"Sleep apnea, Anxiety, ADHD",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Night terrors,"Normal variant, Stress, Sleep disorders",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sleepwalking,"Normal variant, Sleep disorders, Stress",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Tics,"Transient tic disorder, Tourette syndrome, OCD",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Nail biting,"Anxiety, Normal habit, OCD",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Thumb sucking,"Normal development, Anxiety, Dental problems",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hair pulling,"Trichotillomania, Anxiety, Stress",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Breath holding spells,"Normal variant, Iron deficiency, Emotional dysregulation",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Regression in development,"Autism spectrum disorder, Rett syndrome, Metabolic disorders",Severe,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Facial weakness,"Bell's palsy, Stroke, Myasthenia gravis",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
