subject,relation,object
"Common cold, Sinusitis, Allergic rhinitis",available in language,"English, Hindi, Punjabi, Urdu"
Chest pain,indicates,"Angina, Gastroesophageal reflux, Pneumonia"
"Angina, Gastroesophageal reflux, Pneumonia",has severity,Severe
"Angina, Gastroesophageal reflux, Pneumonia",lasts for,3 days
"Angina, Gastroesophageal reflux, Pneumonia",common in,Pan-India
"Angina, Gastroesophageal reflux, Pneumonia",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dizziness,indicates,"Vertigo, Anemia, Low blood pressure"
"Vertigo, Anemia, Low blood pressure",has severity,Moderate
"Vertigo, Anemia, Low blood pressure",lasts for,3 days
"Vertigo, Anemia, Low blood pressure",common in,Pan-India
"Vertigo, Anemia, Low blood pressure",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Swollen lymph nodes,indicates,"Tuberculosis, Lymphoma, Viral infection"
"Tuberculosis, Lymphoma, Viral infection",has severity,Moderate
"Tuberculosis, Lymphoma, Viral infection",lasts for,14 days
"Tuberculosis, Lymphoma, Viral infection",common in,Pan-India
"Tuberculosis, Lymphoma, Viral infection",available in language,"English, Hindi, Bengali, Tamil, Marathi"
Jaundice,indicates,"Hepatitis, Liver cirrhosis, Malaria"
"Hepatitis, Liver cirrhosis, Malaria",has severity,Severe
"Hepatitis, Liver cirrhosis, Malaria",lasts for,21 days
"Hepatitis, Liver cirrhosis, Malaria",common in,Pan-India
"Hepatitis, Liver cirrhosis, Malaria",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Blood in stool,indicates,"Hemorrhoids, Colorectal cancer, Dysentery"
"Hemorrhoids, Colorectal cancer, Dysentery",has severity,Severe
"Hemorrhoids, Colorectal cancer, Dysentery",lasts for,5 days
"Hemorrhoids, Colorectal cancer, Dysentery",common in,Pan-India
"Hemorrhoids, Colorectal cancer, Dysentery",available in language,"English, Hindi, Tamil, Bengali, Malayalam"
Burning urination,indicates,"Urinary tract infection, Kidney stones, Prostatitis"
"Urinary tract infection, Kidney stones, Prostatitis",has severity,Moderate
"Urinary tract infection, Kidney stones, Prostatitis",lasts for,7 days
"Urinary tract infection, Kidney stones, Prostatitis",common in,Pan-India
"Urinary tract infection, Kidney stones, Prostatitis",available in language,"English, Hindi, Tamil, Telugu, Bengali"
Back pain,indicates,"Muscle strain, Herniated disc, Kidney stones"
"Muscle strain, Herniated disc, Kidney stones",has severity,Moderate
"Muscle strain, Herniated disc, Kidney stones",lasts for,10 days
"Muscle strain, Herniated disc, Kidney stones",common in,Pan-India
"Muscle strain, Herniated disc, Kidney stones",available in language,"English, Hindi, Tamil, Marathi, Bengali"
Ear pain,indicates,"Ear infection, Swimmer's ear, Sinusitis"
"Ear infection, Swimmer's ear, Sinusitis",has severity,Moderate
"Ear infection, Swimmer's ear, Sinusitis",lasts for,5 days
"Ear infection, Swimmer's ear, Sinusitis",common in,Pan-India
"Ear infection, Swimmer's ear, Sinusitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Blurred vision,indicates,"Cataract, Glaucoma, Diabetic retinopathy"
"Cataract, Glaucoma, Diabetic retinopathy",has severity,Moderate
"Cataract, Glaucoma, Diabetic retinopathy",lasts for,60 days
"Cataract, Glaucoma, Diabetic retinopathy",common in,Pan-India
"Cataract, Glaucoma, Diabetic retinopathy",available in language,"English, Hindi, Tamil, Bengali, Malayalam"
Loss of appetite,indicates,"Tuberculosis, Depression, Hepatitis"
"Tuberculosis, Depression, Hepatitis",has severity,Moderate
"Tuberculosis, Depression, Hepatitis",lasts for,14 days
"Tuberculosis, Depression, Hepatitis",common in,Pan-India
"Tuberculosis, Depression, Hepatitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Night sweats,indicates,"Tuberculosis, Lymphoma, Menopause"
"Tuberculosis, Lymphoma, Menopause",has severity,Moderate
"Tuberculosis, Lymphoma, Menopause",lasts for,21 days
"Tuberculosis, Lymphoma, Menopause",common in,Pan-India
"Tuberculosis, Lymphoma, Menopause",available in language,"English, Hindi, Tamil, Bengali, Gujarati"
Nausea,indicates,"Motion sickness, Gastritis, Pregnancy"
"Motion sickness, Gastritis, Pregnancy",has severity,Mild
"Motion sickness, Gastritis, Pregnancy",lasts for,3 days
"Motion sickness, Gastritis, Pregnancy",common in,Pan-India
"Motion sickness, Gastritis, Pregnancy",available in language,"English, Hindi, Tamil, Telugu, Malayalam"
Muscle weakness,indicates,"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders"
"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",has severity,Moderate
"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",lasts for,30 days
"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",common in,North India
"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",available in language,"English, Hindi, Punjabi, Urdu"
Frequent urination,indicates,"Diabetes, Urinary tract infection, Prostate enlargement"
"Diabetes, Urinary tract infection, Prostate enlargement",has severity,Moderate
"Diabetes, Urinary tract infection, Prostate enlargement",lasts for,7 days
"Diabetes, Urinary tract infection, Prostate enlargement",common in,Pan-India
"Diabetes, Urinary tract infection, Prostate enlargement",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Constipation,indicates,"Irritable bowel syndrome, Hypothyroidism, Dehydration"
"Irritable bowel syndrome, Hypothyroidism, Dehydration",has severity,Mild
"Irritable bowel syndrome, Hypothyroidism, Dehydration",lasts for,5 days
"Irritable bowel syndrome, Hypothyroidism, Dehydration",common in,Pan-India
"Irritable bowel syndrome, Hypothyroidism, Dehydration",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Blood in urine,indicates,"Urinary tract infection, Kidney stones, Bladder cancer"
"Urinary tract infection, Kidney stones, Bladder cancer",has severity,Severe
"Urinary tract infection, Kidney stones, Bladder cancer",lasts for,7 days
"Urinary tract infection, Kidney stones, Bladder cancer",common in,Pan-India
"Urinary tract infection, Kidney stones, Bladder cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Wheezing,indicates,"Asthma, Bronchitis, COPD"
"Asthma, Bronchitis, COPD",has severity,Moderate
"Asthma, Bronchitis, COPD",lasts for,7 days
"Asthma, Bronchitis, COPD",common in,North India
"Asthma, Bronchitis, COPD",available in language,"English, Hindi, Punjabi, Urdu"
Stiff neck,indicates,"Meningitis, Cervical spondylosis, Muscle strain"
"Meningitis, Cervical spondylosis, Muscle strain",has severity,Moderate
"Meningitis, Cervical spondylosis, Muscle strain",lasts for,7 days
"Meningitis, Cervical spondylosis, Muscle strain",common in,Pan-India
"Meningitis, Cervical spondylosis, Muscle strain",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Ankle swelling,indicates,"Heart failure, Kidney disease, Venous insufficiency"
"Heart failure, Kidney disease, Venous insufficiency",has severity,Moderate
"Heart failure, Kidney disease, Venous insufficiency",lasts for,14 days
"Heart failure, Kidney disease, Venous insufficiency",common in,Pan-India
"Heart failure, Kidney disease, Venous insufficiency",available in language,"English, Hindi, Tamil, Bengali, Malayalam"
Weight loss,indicates,"Tuberculosis, Cancer, Hyperthyroidism"
"Tuberculosis, Cancer, Hyperthyroidism",has severity,Moderate
"Tuberculosis, Cancer, Hyperthyroidism",lasts for,30 days
"Tuberculosis, Cancer, Hyperthyroidism",common in,Pan-India
"Tuberculosis, Cancer, Hyperthyroidism",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Excessive thirst,indicates,"Diabetes, Dehydration, Kidney disease"
"Diabetes, Dehydration, Kidney disease",has severity,Moderate
"Diabetes, Dehydration, Kidney disease",lasts for,7 days
"Diabetes, Dehydration, Kidney disease",common in,Pan-India
"Diabetes, Dehydration, Kidney disease",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Increased hunger,indicates,"Diabetes, Hyperthyroidism, Parasitic infection"
"Diabetes, Hyperthyroidism, Parasitic infection",has severity,Moderate
"Diabetes, Hyperthyroidism, Parasitic infection",lasts for,14 days
"Diabetes, Hyperthyroidism, Parasitic infection",common in,Pan-India
"Diabetes, Hyperthyroidism, Parasitic infection",available in language,"English, Hindi, Tamil, Bengali, Gujarati"
Dry cough,indicates,"Bronchitis, COVID-19, Asthma"
"Bronchitis, COVID-19, Asthma",has severity,Moderate
"Bronchitis, COVID-19, Asthma",lasts for,10 days
"Bronchitis, COVID-19, Asthma",common in,Pan-India
"Bronchitis, COVID-19, Asthma",available in language,"English, Hindi, Tamil, Telugu, Malayalam"
Productive cough,indicates,"Pneumonia, Bronchitis, Tuberculosis"
"Pneumonia, Bronchitis, Tuberculosis",has severity,Moderate
"Pneumonia, Bronchitis, Tuberculosis",lasts for,14 days
"Pneumonia, Bronchitis, Tuberculosis",common in,North India
"Pneumonia, Bronchitis, Tuberculosis",available in language,"English, Hindi, Punjabi, Urdu"
Itchy skin,indicates,"Scabies, Eczema, Allergies"
"Scabies, Eczema, Allergies",has severity,Mild
"Scabies, Eczema, Allergies",lasts for,14 days
"Scabies, Eczema, Allergies",common in,Pan-India
"Scabies, Eczema, Allergies",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Red eyes,indicates,"Conjunctivitis, Allergies, Glaucoma"
"Conjunctivitis, Allergies, Glaucoma",has severity,Mild
"Conjunctivitis, Allergies, Glaucoma",lasts for,7 days
"Conjunctivitis, Allergies, Glaucoma",common in,Pan-India
"Conjunctivitis, Allergies, Glaucoma",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Mouth ulcers,indicates,"Vitamin deficiency, Viral infection, Stress"
"Vitamin deficiency, Viral infection, Stress",has severity,Mild
"Vitamin deficiency, Viral infection, Stress",lasts for,10 days
"Vitamin deficiency, Viral infection, Stress",common in,Pan-India
"Vitamin deficiency, Viral infection, Stress",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hair loss,indicates,"Alopecia, Thyroid disorders, Nutritional deficiency"
"Alopecia, Thyroid disorders, Nutritional deficiency",has severity,Mild
"Alopecia, Thyroid disorders, Nutritional deficiency",lasts for,60 days
"Alopecia, Thyroid disorders, Nutritional deficiency",common in,Pan-India
"Alopecia, Thyroid disorders, Nutritional deficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Palpitations,indicates,"Anxiety, Arrhythmia, Anemia"
"Anxiety, Arrhythmia, Anemia",has severity,Moderate
"Anxiety, Arrhythmia, Anemia",lasts for,1 days
"Anxiety, Arrhythmia, Anemia",common in,Pan-India
"Anxiety, Arrhythmia, Anemia",available in language,"English, Hindi, Tamil, Bengali, Malayalam"
Cold hands and feet,indicates,"Raynaud's disease, Hypothyroidism, Anemia"
"Raynaud's disease, Hypothyroidism, Anemia",has severity,Mild
"Raynaud's disease, Hypothyroidism, Anemia",lasts for,30 days
"Raynaud's disease, Hypothyroidism, Anemia",common in,North India
"Raynaud's disease, Hypothyroidism, Anemia",available in language,"English, Hindi, Punjabi, Urdu"
Memory problems,indicates,"Dementia, Vitamin B12 deficiency, Depression"
"Dementia, Vitamin B12 deficiency, Depression",has severity,Moderate
"Dementia, Vitamin B12 deficiency, Depression",lasts for,60 days
"Dementia, Vitamin B12 deficiency, Depression",common in,Pan-India
"Dementia, Vitamin B12 deficiency, Depression",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Tremors,indicates,"Parkinson's disease, Essential tremor, Hyperthyroidism"
"Parkinson's disease, Essential tremor, Hyperthyroidism",has severity,Moderate
"Parkinson's disease, Essential tremor, Hyperthyroidism",lasts for,30 days
"Parkinson's disease, Essential tremor, Hyperthyroidism",common in,Pan-India
"Parkinson's disease, Essential tremor, Hyperthyroidism",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive sweating,indicates,"Hyperthyroidism, Tuberculosis, Menopause"
"Hyperthyroidism, Tuberculosis, Menopause",has severity,Moderate
"Hyperthyroidism, Tuberculosis, Menopause",lasts for,21 days
"Hyperthyroidism, Tuberculosis, Menopause",common in,Pan-India
"Hyperthyroidism, Tuberculosis, Menopause",available in language,"English, Hindi, Tamil, Bengali, Gujarati"
Hoarseness,indicates,"Laryngitis, Vocal cord nodules, Thyroid cancer"
"Laryngitis, Vocal cord nodules, Thyroid cancer",has severity,Mild
"Laryngitis, Vocal cord nodules, Thyroid cancer",lasts for,10 days
"Laryngitis, Vocal cord nodules, Thyroid cancer",common in,Pan-India
"Laryngitis, Vocal cord nodules, Thyroid cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dry skin,indicates,"Eczema, Psoriasis, Hypothyroidism"
"Eczema, Psoriasis, Hypothyroidism",has severity,Mild
"Eczema, Psoriasis, Hypothyroidism",lasts for,30 days
"Eczema, Psoriasis, Hypothyroidism",common in,North India
"Eczema, Psoriasis, Hypothyroidism",available in language,"English, Hindi, Punjabi, Urdu"
Insomnia,indicates,"Anxiety, Depression, Sleep apnea"
"Anxiety, Depression, Sleep apnea",has severity,Moderate
"Anxiety, Depression, Sleep apnea",lasts for,21 days
"Anxiety, Depression, Sleep apnea",common in,Pan-India
"Anxiety, Depression, Sleep apnea",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Excessive sleepiness,indicates,"Sleep apnea, Depression, Hypothyroidism"
"Sleep apnea, Depression, Hypothyroidism",has severity,Moderate
"Sleep apnea, Depression, Hypothyroidism",lasts for,30 days
"Sleep apnea, Depression, Hypothyroidism",common in,Pan-India
"Sleep apnea, Depression, Hypothyroidism",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Numbness in extremities,indicates,"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes"
"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",has severity,Moderate
"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",lasts for,21 days
"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",common in,Pan-India
"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Painful urination,indicates,"Urinary tract infection, Kidney stones, Sexually transmitted infection"
"Urinary tract infection, Kidney stones, Sexually transmitted infection",has severity,Moderate
"Urinary tract infection, Kidney stones, Sexually transmitted infection",lasts for,7 days
"Urinary tract infection, Kidney stones, Sexually transmitted infection",common in,Pan-India
"Urinary tract infection, Kidney stones, Sexually transmitted infection",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Swollen joints,indicates,"Rheumatoid arthritis, Gout, Reactive arthritis"
"Rheumatoid arthritis, Gout, Reactive arthritis",has severity,Moderate
"Rheumatoid arthritis, Gout, Reactive arthritis",lasts for,14 days
"Rheumatoid arthritis, Gout, Reactive arthritis",common in,Pan-India
"Rheumatoid arthritis, Gout, Reactive arthritis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Muscle cramps,indicates,"Dehydration, Electrolyte imbalance, Vitamin D deficiency"
"Dehydration, Electrolyte imbalance, Vitamin D deficiency",has severity,Mild
"Dehydration, Electrolyte imbalance, Vitamin D deficiency",lasts for,3 days
"Dehydration, Electrolyte imbalance, Vitamin D deficiency",common in,Pan-India
"Dehydration, Electrolyte imbalance, Vitamin D deficiency",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Facial pain,indicates,"Sinusitis, Trigeminal neuralgia, Dental abscess"
"Sinusitis, Trigeminal neuralgia, Dental abscess",has severity,Moderate
"Sinusitis, Trigeminal neuralgia, Dental abscess",lasts for,7 days
"Sinusitis, Trigeminal neuralgia, Dental abscess",common in,North India
"Sinusitis, Trigeminal neuralgia, Dental abscess",available in language,"English, Hindi, Punjabi, Urdu"
Eye pain,indicates,"Glaucoma, Corneal abrasion, Iritis"
"Glaucoma, Corneal abrasion, Iritis",has severity,Moderate
"Glaucoma, Corneal abrasion, Iritis",lasts for,5 days
"Glaucoma, Corneal abrasion, Iritis",common in,Pan-India
"Glaucoma, Corneal abrasion, Iritis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Blood pressure fluctuations,indicates,"Hypertension, Pheochromocytoma, Anxiety"
"Hypertension, Pheochromocytoma, Anxiety",has severity,Moderate
"Hypertension, Pheochromocytoma, Anxiety",lasts for,7 days
"Hypertension, Pheochromocytoma, Anxiety",common in,Pan-India
"Hypertension, Pheochromocytoma, Anxiety",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Irregular heartbeat,indicates,"Arrhythmia, Anxiety, Electrolyte imbalance"
"Arrhythmia, Anxiety, Electrolyte imbalance",has severity,Moderate
"Arrhythmia, Anxiety, Electrolyte imbalance",lasts for,5 days
"Arrhythmia, Anxiety, Electrolyte imbalance",common in,Pan-India
"Arrhythmia, Anxiety, Electrolyte imbalance",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Excessive bruising,indicates,"Platelet disorders, Vitamin K deficiency, Leukemia"
"Platelet disorders, Vitamin K deficiency, Leukemia",has severity,Moderate
"Platelet disorders, Vitamin K deficiency, Leukemia",lasts for,14 days
"Platelet disorders, Vitamin K deficiency, Leukemia",common in,Pan-India
"Platelet disorders, Vitamin K deficiency, Leukemia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Toothache,indicates,"Dental cavity, Abscess, Gum disease"
"Dental cavity, Abscess, Gum disease",has severity,Moderate
"Dental cavity, Abscess, Gum disease",lasts for,7 days
"Dental cavity, Abscess, Gum disease",common in,Pan-India
"Dental cavity, Abscess, Gum disease",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Jaw pain,indicates,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia"
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",has severity,Moderate
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",lasts for,14 days
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",common in,Pan-India
"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Halitosis,indicates,"Gum disease, Dental infection, Gastroesophageal reflux"
"Gum disease, Dental infection, Gastroesophageal reflux",has severity,Mild
"Gum disease, Dental infection, Gastroesophageal reflux",lasts for,7 days
"Gum disease, Dental infection, Gastroesophageal reflux",common in,Pan-India
"Gum disease, Dental infection, Gastroesophageal reflux",available in language,"English, Hindi, Tamil, Telugu, Malayalam"
Bloody sputum,indicates,"Tuberculosis, Lung cancer, Pneumonia"
"Tuberculosis, Lung cancer, Pneumonia",has severity,Severe
"Tuberculosis, Lung cancer, Pneumonia",lasts for,7 days
"Tuberculosis, Lung cancer, Pneumonia",common in,North India
"Tuberculosis, Lung cancer, Pneumonia",available in language,"English, Hindi, Punjabi, Urdu"
Lower back pain,indicates,"Sciatica, Kidney infection, Herniated disc"
"Sciatica, Kidney infection, Herniated disc",has severity,Moderate
"Sciatica, Kidney infection, Herniated disc",lasts for,14 days
"Sciatica, Kidney infection, Herniated disc",common in,Pan-India
"Sciatica, Kidney infection, Herniated disc",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Knee pain,indicates,"Osteoarthritis, Ligament injury, Gout"
"Osteoarthritis, Ligament injury, Gout",has severity,Moderate
"Osteoarthritis, Ligament injury, Gout",lasts for,14 days
"Osteoarthritis, Ligament injury, Gout",common in,Pan-India
"Osteoarthritis, Ligament injury, Gout",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Shoulder pain,indicates,"Frozen shoulder, Rotator cuff injury, Bursitis"
"Frozen shoulder, Rotator cuff injury, Bursitis",has severity,Moderate
"Frozen shoulder, Rotator cuff injury, Bursitis",lasts for,21 days
"Frozen shoulder, Rotator cuff injury, Bursitis",common in,Pan-India
"Frozen shoulder, Rotator cuff injury, Bursitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Abdominal bloating,indicates,"Irritable bowel syndrome, Gastritis, Lactose intolerance"
"Irritable bowel syndrome, Gastritis, Lactose intolerance",has severity,Mild
"Irritable bowel syndrome, Gastritis, Lactose intolerance",lasts for,5 days
"Irritable bowel syndrome, Gastritis, Lactose intolerance",common in,Pan-India
"Irritable bowel syndrome, Gastritis, Lactose intolerance",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Anal bleeding,indicates,"Hemorrhoids, Anal fissure, Colorectal cancer"
"Hemorrhoids, Anal fissure, Colorectal cancer",has severity,Moderate
"Hemorrhoids, Anal fissure, Colorectal cancer",lasts for,7 days
"Hemorrhoids, Anal fissure, Colorectal cancer",common in,Pan-India
"Hemorrhoids, Anal fissure, Colorectal cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Decreased urine output,indicates,"Kidney disease, Dehydration, Urinary obstruction"
"Kidney disease, Dehydration, Urinary obstruction",has severity,Severe
"Kidney disease, Dehydration, Urinary obstruction",lasts for,3 days
"Kidney disease, Dehydration, Urinary obstruction",common in,Pan-India
"Kidney disease, Dehydration, Urinary obstruction",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Loss of consciousness,indicates,"Syncope, Epilepsy, Hypoglycemia"
"Syncope, Epilepsy, Hypoglycemia",has severity,Severe
"Syncope, Epilepsy, Hypoglycemia",lasts for,1 days
"Syncope, Epilepsy, Hypoglycemia",common in,Pan-India
"Syncope, Epilepsy, Hypoglycemia",available in language,"English, Hindi, Tamil, Bengali, Malayalam"
Confusion,indicates,"Delirium, Dementia, Encephalitis"
"Delirium, Dementia, Encephalitis",has severity,Severe
"Delirium, Dementia, Encephalitis",lasts for,7 days
"Delirium, Dementia, Encephalitis",common in,Pan-India
"Delirium, Dementia, Encephalitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Slurred speech,indicates,"Stroke, Transient ischemic attack, Multiple sclerosis"
"Stroke, Transient ischemic attack, Multiple sclerosis",has severity,Severe
"Stroke, Transient ischemic attack, Multiple sclerosis",lasts for,3 days
"Stroke, Transient ischemic attack, Multiple sclerosis",common in,Pan-India
"Stroke, Transient ischemic attack, Multiple sclerosis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Facial drooping,indicates,"Stroke, Bell's palsy, Transient ischemic attack"
"Stroke, Bell's palsy, Transient ischemic attack",has severity,Severe
"Stroke, Bell's palsy, Transient ischemic attack",lasts for,14 days
"Stroke, Bell's palsy, Transient ischemic attack",common in,Pan-India
"Stroke, Bell's palsy, Transient ischemic attack",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Limb weakness,indicates,"Stroke, Multiple sclerosis, Guillain-Barré syndrome"
"Stroke, Multiple sclerosis, Guillain-Barré syndrome",has severity,Severe
"Stroke, Multiple sclerosis, Guillain-Barré syndrome",lasts for,21 days
"Stroke, Multiple sclerosis, Guillain-Barré syndrome",common in,Pan-India
"Stroke, Multiple sclerosis, Guillain-Barré syndrome",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Double vision,indicates,"Stroke, Brain tumor, Multiple sclerosis"
"Stroke, Brain tumor, Multiple sclerosis",has severity,Severe
"Stroke, Brain tumor, Multiple sclerosis",lasts for,7 days
"Stroke, Brain tumor, Multiple sclerosis",common in,Pan-India
"Stroke, Brain tumor, Multiple sclerosis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Seizures,indicates,"Epilepsy, Brain tumor, Meningitis"
"Epilepsy, Brain tumor, Meningitis",has severity,Severe
"Epilepsy, Brain tumor, Meningitis",lasts for,1 days
"Epilepsy, Brain tumor, Meningitis",common in,Pan-India
"Epilepsy, Brain tumor, Meningitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Ringing in ears,indicates,"Tinnitus, Meniere's disease, Ear infection"
"Tinnitus, Meniere's disease, Ear infection",has severity,Mild
"Tinnitus, Meniere's disease, Ear infection",lasts for,14 days
"Tinnitus, Meniere's disease, Ear infection",common in,Pan-India
"Tinnitus, Meniere's disease, Ear infection",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hearing loss,indicates,"Age-related hearing loss, Ear infection, Acoustic neuroma"
"Age-related hearing loss, Ear infection, Acoustic neuroma",has severity,Moderate
"Age-related hearing loss, Ear infection, Acoustic neuroma",lasts for,30 days
